Id,Label,TradeCluster,PlayerCluster,Out,In,Bal
ATL,ATL,0,4,211.5,249.4,37.9
BOS,BOS,1,3,72.7,141.0,68.3
BRK,BRK,3,4,243.2,211.8,-31.4
CHI,CHI,3,5,90.7,49.9,-40.8
CHO,CHO,4,3,418.4,170.3,-248.1
CLE,CLE,1,0,48.9,130.8,81.9
DAL,DAL,1,4,276.4,402.9,126.5
DEN,DEN,2,2,264.1,196.3,-67.8
DET,DET,3,0,165.2,149.5,-15.7
GSW,GSW,0,1,455.2,189.3,-265.9
HOU,HOU,0,3,72.1,226.9,154.8
IND,IND,2,0,178.6,184.0,5.4
LAC,LAC,2,3,153.2,125.5,-27.7
LAL,LAL,4,2,154.3,272.6,118.3
MEM,MEM,0,1,87.7,37.7,-50.0
MIA,MIA,4,0,195.9,197.7,1.8
MIL,MIL,1,0,381.9,259.3,-122.6
MIN,MIN,1,3,233.1,183.4,-49.7
NYK,NYK,0,4,123.2,185.2,62.0
OKC,OKC,2,4,159.6,337.2,177.6
ORL,ORL,0,5,140.2,129.4,-10.8
PHI,PHI,3,3,279.5,189.6,-89.9
PHO,PHO,1,3,329.8,240.9,-88.9
POR,POR,0,3,214.8,230.6,15.8
SAC,SAC,0,3,131.5,212.0,80.5
SAS,SAS,3,4,81.3,144.1,62.8
TOR,TOR,0,0,158.7,179.8,21.1
UTA,UTA,0,0,60.8,195.4,134.6
WAS,WAS,0,4,160.5,120.5,-40.0
