Target,Source,Weight
SAC,ORL,0
UTA,PHI,-0.1
CHI,PHI,9
NOP,CLE,-0.1
MEM,DAL,0
POR,BRK,0.3
PHO,GSW,2.9
WAS,LAL,6.3
NYK,MIL,3.8
POR,CLE,6.4
CHO,DAL,0.1
LAL,TOR,-1.1
PHO,IND,0
NOP,BRK,6.3
MIL,ATL,2.9
DAL,OKC,4.2
CLE,CHO,3.7
DET,UTA,0
MIN,DET,-0.3
PHI,MIA,1.9
HOU,MIL,27
DEN,OKC,5.5
PHO,BOS,52.9
LAC,CLE,-0.7
NOP,ORL,0.2
NYK,LAC,1.8
BRK,CHO,0
BOS,SAC,6.9
CHI,MIA,0.9
LAL,BOS,51.3
ORL,TOR,3.2
HOU,LAC,2.6
SAS,MIL,1.9
MIL,NYK,5.5
MIA,DAL,1.6
MIA,DEN,9.9
IND,PHO,6.2
HOU,ATL,9.3
UTA,MEM,0
WAS,DET,54.4
BOS,POR,1.1
BOS,MIN,72.9
SAS,NYK,35
SAC,DET,17.4
LAC,BRK,0
BOS,NOP,0
OKC,BOS,62.3
NYK,ATL,0
ATL,ORL,4
GSW,PHO,1.7
DET,CHO,7.8
CLE,CHI,11.3
LAC,NYK,1.5
MIA,MEM,7.3
CHI,DEN,20.6
UTA,DEN,0
DEN,HOU,4.4
IND,SAC,53.1
UTA,DAL,4.3
BRK,GSW,0.4
HOU,ORL,17.7
TOR,POR,0.4
CLE,BOS,20.1
MIN,WAS,6.1
OKC,CHI,36.7
SAS,DET,0
MIN,LAC,21.3
TOR,NOP,1.5
ORL,CHO,1.2
MIL,CLE,21.2
DAL,HOU,-0.2
NOP,LAC,2.5
POR,ATL,0
NYK,ORL,4.2
BRK,TOR,7.3
NOP,WAS,-0.2
DET,GSW,3
BOS,OKC,27
MIN,ATL,0
IND,NOP,15.8
NYK,LAL,0.1
MIL,BRK,5.5
GSW,POR,1.6
POR,LAC,-0.4
PHO,CHI,58.4
PHO,UTA,41.7
GSW,NOP,3.2
CHO,PHI,11.2
TOR,SAC,32.8
DET,TOR,17.3
GSW,MIN,2.3
IND,POR,28.9
BOS,PHO,20.2
MIL,DET,0.8
TOR,SAS,30.4
DET,BOS,13.8
LAC,WAS,3.2
OKC,CHO,4.3
ATL,MIL,12.9
POR,MIL,1
ORL,UTA,5.6
MEM,MIA,20.6
WAS,LAC,3
MIL,ORL,9.6
PHI,DEN,18
DEN,MIN,0
CLE,TOR,0.9
SAC,ATL,16.5
LAL,CHO,3.4
HOU,BRK,69.1
ATL,NYK,5.8
POR,NYK,6
CLE,GSW,6
MIL,LAL,2
CHO,MIA,58.3
TOR,HOU,18.9
NOP,MIL,2
IND,SAS,0.4
HOU,DET,0.2
MIN,MIL,14
DAL,NOP,3.5
PHO,CHO,22.6
DAL,MIN,0.4
DEN,POR,9.6
MIA,PHI,2.2
DAL,MIA,0
POR,CHI,17.7
POR,UTA,46.7
PHO,WAS,0.6
ORL,MIL,1
CLE,ORL,19.2
PHO,LAC,0
CHO,NOP,13.6
GSW,PHI,3.7
SAS,TOR,8.8
LAL,WAS,26
SAS,IND,0
MEM,SAC,46.3
PHI,OKC,0
DEN,MIA,5.6
SAC,CHO,1.8
ORL,NYK,3.6
MIA,HOU,0
MIL,TOR,41.2
DEN,MEM,0.1
TOR,PHI,0.3
MEM,POR,1.4
CHO,SAC,0.4
OKC,WAS,1.5
MEM,MIN,52.2
LAC,CHO,28.6
MIL,GSW,0
OKC,LAC,3
PHO,ATL,44.7
WAS,CHO,0
DAL,MEM,0
NOP,CHI,2.3
MIA,NOP,15
MIA,MIN,0.1
PHO,NYK,50.5
BOS,DAL,4.7
MEM,HOU,49.2
ORL,ATL,0
LAL,NYK,11.2
ATL,CHO,0
IND,MIA,0
OKC,MIL,25.8
DEN,PHI,28
CHO,SAS,0
DET,ORL,28.9
BOS,DEN,3.2
NYK,GSW,2.7
HOU,TOR,9.7
ORL,WAS,35.8
ORL,LAC,48.1
DET,LAL,2.9
UTA,PHO,0
LAC,CHI,21.3
CHI,PHO,9
LAC,UTA,0.7
NOP,CHO,2.9
CHO,HOU,1.2
TOR,MIA,8.2
SAC,CHI,12.3
BRK,ORL,27.9
SAC,UTA,0
OKC,NYK,0.5
NYK,TOR,1.3
LAL,MIL,0
UTA,OKC,3.1
CHI,OKC,21
PHO,CLE,3.3
IND,DAL,2.1
OKC,BRK,5.7
ATL,GSW,1
POR,GSW,0.9
CHI,SAC,2.1
MIA,PHO,9.5
DET,WAS,6.7
DET,LAC,0
ORL,LAL,7.6
BOS,MIA,3.4
ATL,IND,27.6
POR,IND,63.3
SAS,CHI,0
OKC,DET,-0.1
POR,TOR,1.1
GSW,DAL,42.7
GSW,DEN,12.8
SAC,BOS,0.3
PHI,SAS,1.2
BRK,LAC,0.2
NOP,TOR,0
PHO,DET,8.7
CHI,NOP,21.3
HOU,CHO,0
UTA,NOP,2.2
TOR,DAL,24.5
LAL,DET,0.1
CLE,MIL,0.8
NOP,GSW,22.2
BOS,MEM,1.6
CHI,POR,69.4
UTA,POR,13.3
MIN,GSW,0
DET,ATL,50.2
OKC,CLE,17.7
TOR,DEN,1.3
PHO,BRK,56.6
ORL,DET,99.5
SAS,CHO,-0.1
DEN,DAL,14
CHO,PHO,37.5
LAL,ORL,5.2
BOS,PHI,0
PHI,NOP,0
UTA,HOU,0
PHI,MIN,1.9
CHI,HOU,15.4
BRK,MIL,6.6
DAL,DEN,10.6
PHI,POR,0
NOP,BOS,0.4
ORL,BRK,2.3
CHO,OKC,1.5
MIN,BOS,53.7
CLE,LAC,4.6
OKC,LAL,8.9
PHO,ORL,9
DET,MIL,4.6
ATL,BOS,0.7
POR,BOS,0.6
MEM,OKC,1.5
OKC,ORL,27.4
MIL,CHO,1.8
ORL,CLE,72.1
CLE,ATL,1.7
SAC,TOR,0.8
NYK,CHI,64.9
PHI,SAC,14.9
SAC,IND,11
MEM,PHO,-0.1
HOU,CHI,4.4
HOU,UTA,0.2
NYK,HOU,7.7
DAL,ORL,0
SAS,POR,22.8
CLE,MIA,1.4
TOR,BRK,43.6
CHO,GSW,5.4
PHI,CHO,1.8
SAS,MIN,0
DEN,ORL,43.6
DET,PHI,2.1
LAL,DAL,0
TOR,DET,47.8
MIA,BOS,0
HOU,SAS,2
GSW,BRK,3.4
MIL,POR,1.1
WAS,PHO,1.2
OKC,DEN,3.8
