BRK,CHI,0.5
SAC,ORL,2
ATL,DET,10
POR,DET,37.4
UTA,PHI,2
OKC,IND,25.5
LAC,ORL,0.7
ATL,BRK,1.7
POR,BRK,18.4
OKC,GSW,2.4
WAS,ORL,5.6
MIL,WAS,0.6
CHO,DEN,4.3
MIN,BRK,19.4
MIL,ATL,3.7
CLE,CHO,0.3
DEN,PHO,10
MIN,DET,1.6
DAL,PHO,132.8
DEN,OKC,67.3
LAL,GSW,0
WAS,CLE,2.4
LAC,CLE,9.7
ORL,GSW,10.6
NYK,LAC,12
BRK,CHO,3.6
UTA,MIA,0
CHI,MIA,0
LAL,BOS,22.2
SAS,MIL,13.8
LAC,DET,5.8
MIA,DAL,2.6
GSW,OKC,2.8
MIA,DEN,22.1
HOU,ATL,1.1
WAS,DET,2.1
SAS,NYK,13
IND,OKC,53.7
SAC,DET,0.2
LAC,BRK,6.9
NYK,ATL,2.1
LAC,NYK,22.2
BRK,IND,1.6
CHI,DAL,0
TOR,POR,42.8
CLE,BOS,10.8
OKC,CHI,2.6
SAS,DET,24
MIN,LAC,0.4
GSW,SAC,55.3
MIL,CLE,0
DAL,HOU,0.4
POR,ATL,4.8
NYK,ORL,0
MIN,ATL,21.9
WAS,MIL,-0.1
IND,MIN,14.6
MIL,BRK,0.7
GSW,POR,-0.1
ATL,LAC,24.8
PHO,CHI,7.2
POR,WAS,29.3
DAL,SAS,0
CHO,PHI,33.5
GSW,MIN,19
MIL,DET,1.7
DEN,SAC,2.4
LAC,WAS,7.2
OKC,CHO,4.4
ATL,MIL,0.6
POR,MIL,0.5
ORL,UTA,68.2
WAS,LAC,2.6
MIL,ORL,4.1
HOU,CLE,0
MIN,NYK,3.6
SAC,WAS,30.2
DAL,SAC,18.9
SAS,ORL,2.1
DEN,MIN,9.1
DAL,POR,4.3
SAC,ATL,3.6
LAL,CHO,50.5
GSW,SAS,0
ATL,NYK,32.2
POR,NYK,3.6
CLE,GSW,2.4
LAC,ATL,35.3
MIL,LAL,-0.4
CHO,MIA,65.3
TOR,HOU,1.3
MIN,MIL,66.9
DAL,MIN,10.8
DEN,POR,1
OKC,ATL,-0.2
DAL,MIA,15.5
PHI,PHO,44.6
NYK,BOS,13.6
ATL,CHI,-0.6
ATL,UTA,19.6
PHO,WAS,0
ORL,MIL,3
CLE,ORL,0.4
GSW,PHI,6.1
MEM,SAC,1.2
MIL,DEN,8.7
SAS,GSW,0.2
PHI,OKC,4
IND,PHI,-0.9
DEN,MIA,5.9
WAS,MIA,4.1
OKC,MIN,-0.3
ORL,SAS,4.2
SAC,CHO,1.2
MIA,HOU,9.6
MIL,TOR,1.7
CHO,WAS,8.2
ORL,HOU,0
MIA,NYK,0
TOR,PHI,2.5
